# time	H3UND4	V7SMATCH	H10SMATCH	V14SMATCH	V3DBC3	H3DBC3	H12SMATCH	sase
1.446586248509999990e+09 -4.962309598920000009e-01 1.196581199770000020e-01 2.359829187389999916e+00 9.914529919619999854e-01 9.880341589449999351e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.515608024600000014e+01
1.446586248680000067e+09 -4.962309598920000009e-01 1.196581199770000020e-01 2.359829187389999916e+00 9.914529919619999854e-01 9.880341589449999351e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.515608024600000014e+01
1.446586248859999895e+09 -4.980620741840000032e-01 1.196581199770000020e-01 2.359829187389999916e+00 9.914529919619999854e-01 9.880341589449999351e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.519846343989999937e+01
1.446586249029999971e+09 -4.980620741840000032e-01 1.196581199770000020e-01 2.358974456789999952e+00 9.914529919619999854e-01 9.880341589449999351e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.521447849269999963e+01
1.446586249210000038e+09 -4.962309598920000009e-01 1.196581199770000020e-01 2.358974456789999952e+00 9.914529919619999854e-01 9.880341589449999351e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.521723651890000006e+01
1.446586249390000105e+09 -4.962309598920000009e-01 1.196581199770000020e-01 2.359829187389999916e+00 9.914529919619999854e-01 9.880341589449999351e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.521867942809999974e+01
1.446586249569999933e+09 -4.971465170380000020e-01 1.196581199770000020e-01 2.359829187389999916e+00 9.914529919619999854e-01 9.888888895509999333e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.521867942809999974e+01
1.446586249759999990e+09 -4.971465170380000020e-01 1.196581199770000020e-01 2.358974456789999952e+00 9.914529919619999854e-01 9.888888895509999333e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.521867942809999974e+01
1.446586249940000057e+09 -4.980620741840000032e-01 1.196581199770000020e-01 2.358974456789999952e+00 9.914529919619999854e-01 9.880341589449999351e-02 -1.105128228660000045e-01 3.991453051569999744e-01 1.523912048340000069e+01
1.446586250109999895e+09 -4.998931884769999834e-01 1.196581199770000020e-01 2.359829187389999916e+00 9.914529919619999854e-01 9.880341589449999351e-02 -1.105128228660000045e-01 3.991453051569999744e-01 1.524828529360000040e+01
1.446586250299999952e+09 -4.998931884769999834e-01 1.196581199770000020e-01 2.358974456789999952e+00 9.914529919619999854e-01 9.880341589449999351e-02 -1.105128228660000045e-01 3.991453051569999744e-01 1.515216922759999996e+01
1.446586250490000010e+09 -4.971465170380000020e-01 1.196581199770000020e-01 2.358974456789999952e+00 9.914529919619999854e-01 9.880341589449999351e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.514942359920000037e+01
1.446586250680000067e+09 -4.971465170380000020e-01 1.196581199770000020e-01 2.358974456789999952e+00 9.914529919619999854e-01 9.880341589449999351e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.514942359920000037e+01
1.446586250859999895e+09 -4.998931884769999834e-01 1.196581199770000020e-01 2.358974456789999952e+00 9.914529919619999854e-01 9.880341589449999351e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.519197463989999974e+01
1.446586251049999952e+09 -4.989776313300000044e-01 1.196581199770000020e-01 2.359829187389999916e+00 9.914529919619999854e-01 9.880341589449999351e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.519882583619999927e+01
1.446586251230000019e+09 -4.989776313300000044e-01 1.196581199770000020e-01 2.359829187389999916e+00 9.914529919619999854e-01 9.888888895509999333e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.519882583619999927e+01
1.446586251400000095e+09 -4.989776313300000044e-01 1.196581199770000020e-01 2.359829187389999916e+00 9.914529919619999854e-01 9.888888895509999333e-02 -1.105982884760000062e-01 3.991453051569999744e-01 1.519882583619999927e+01
