Created from SDDS file: FLASH_S2E.twi
Twiss parameters--input: FLASH_S2E.ele  lattice: FLASH_2012_1200MeV_igor.lte	
Twiss parameters	

Table 1
Step		0	
nux		6.431138135203113e+000	
dnux/dp		7.269090133128385e-001	
dnux/dp2		0.000000000000000e+000	
dnux/dp3		0.000000000000000e+000	
Ax		1.325939544463302e-007	
nuy		5.457967017269939e+000	
dnuy/dp		4.019453565871902e+000	
dnuy/dp2		0.000000000000000e+000	
dnuy/dp3		0.000000000000000e+000	
Ay		8.049419882926087e-008	
deltaHalfRange		0.000000000000000e+000	
nuxChromUpper		6.431138135203113e+000	
nuxChromLower		6.431138135203113e+000	
nuyChromUpper		5.457967017269939e+000	
nuyChromLower		5.457967017269939e+000	
Stage		"tunes uncorrected"	
pCentral		2.902447609199125e+002	
dbetax/dp		2.363005685775195e+004	
dbetay/dp		-2.861397524996428e+003	
etax2		0.000000000000000e+000	
etay2		0.000000000000000e+000	
etax3		0.000000000000000e+000	
etay3		0.000000000000000e+000	
betaxMin		1.743956202018331e-001	
betaxAve		2.298567863210372e+001	
betaxMax		1.647769776232091e+003	
betayMin		1.231538022197820e-001	
betayAve		2.853431462626225e+001	
betayMax		1.327886290265579e+003	
etaxMax		3.461464465402041e-001	
etayMax		1.195161649716406e+000	
waistsx		62	
waistsy		54	
dnux/dAx		0.000000000000000e+000	
dnux/dAy		0.000000000000000e+000	
dnuy/dAx		0.000000000000000e+000	
dnuy/dAy		0.000000000000000e+000	
dnux/dAx2		0.000000000000000e+000	
dnux/dAy2		0.000000000000000e+000	
dnux/dAxAy		0.000000000000000e+000	
dnuy/dAx2		0.000000000000000e+000	
dnuy/dAy2		0.000000000000000e+000	
dnuy/dAxAy		0.000000000000000e+000	
nuxTswaLower		0.000000000000000e+000	
nuxTswaUpper		0.000000000000000e+000	
nuyTswaLower		0.000000000000000e+000	
nuyTswaUpper		0.000000000000000e+000	
couplingIntegral		3.198838723228197e+000	
couplingDelta		-2.682888206682588e-002	
emittanceRatio		9.999296620162551e-001	
alphac2		-6.933788133942005e-002	
alphac		-1.637873769453568e-004	
s	betax	alphax	psix	etax	etaxp	xAperture	betay	alphay	psiy	etay	etayp	yAperture	pCentral0	ElementName	ElementOccurence	ElementType	
2.16138	17.8462927798005	-0.746682150606875	0.13281154878179	0	0	10	21.3522600786691	-0.615357124897513	0.107879207381234	0	0	10	263.363691274719	D010175	3	DRIF	
2.241485	17.9664787539832	-0.753673310135457	0.137285132637652	0	0	10	21.4512607617975	-0.620529313258237	0.111622142529139	0	0	10	263.363691274719	DACC39	7	DRIF	
2.587385	18.4894431331743	-0.757676630559081	0.156263016156181	0	0	10	21.8777423626629	-0.611877446841071	0.127588501752446	0	0	10	254.40332646914	C4.ACC39	1	RFCA	
2.66749	18.6113767927334	-0.764496262008685	0.160581286304802	0	0	10	21.976174362531	-0.616909768290983	0.131241784558332	0	0	10	254.40332646914	DACC39	8	DRIF	
2.66749	18.6113767927334	-0.764496262008685	0.160581286304802	0	0	10	21.976174362531	-0.616909768290983	0.131241784558332	0	0	10	254.40332646914	D06079LSC	4	LSCDRIFT	
2.66749	18.6113767927334	-0.764496262008685	0.160581286304802	0	0	10	21.976174362531	-0.616909768290983	0.131241784558332	0	0	10	254.40332646914	ENDRFACC39	1	MARK	
2.74749	18.7342410500481	-0.771306954424494	0.164865627135754	0	0	10	22.0752819834724	-0.621935493476588	0.13487391774995	0	0	10	254.40332646914	D0080	1	DRIF	
4.3008	21.3358067565833	-0.903545912379484	0.242637658770897	0	0	10	24.1589733360529	-0.719516858327246	0.202186117023018	0	0	10	254.40332646914	D155331	1	DRIF	
4.7798	22.2209368916251	-0.944324933219136	0.264638274292446	0	0	10	24.8626843289842	-0.749608387876058	0.221731758169139	0	0	10	254.40332646914	D04790	1	DRIF	
4.7798	22.2209368916251	-0.944324933219136	0.264638274292446	0	0	10	24.8626843289842	-0.749608387876058	0.221731758169139	0	0	10	254.40332646914	D38014LSC	1	LSCDRIFT	
4.7798	22.2209368916251	-0.944324933219136	0.264638274292446	0	0	10	24.8626843289842	-0.749608387876058	0.221731758169139	0	0	10	254.40332646914	STARTBC2	1	MARK	
4.7798	22.2209368916251	-0.944324933219136	0.264638274292446	0	0	10	24.8626843289842	-0.749608387876058	0.221731758169139	0	0	10	254.40332646914	STARTUBC2	1	MARK	
4.9098	22.4679001330349	-0.955392308394824	0.270456403706138	0	0	10	25.0586441942775	-0.757775191302667	0.226940016568861	0	0	10	254.40332646914	D01230T	1	DRIF	
4.9498	22.5444677315548	-0.958797654602728	0.272233696518164	0	0	10	25.1193667240854	-0.76028805389547	0.228534342270605	0	0	10	254.40332646914	PHA1UBC2	1	DRIF	
5.0433	22.7245071526627	-0.966757651363704	0.276364605408074	0	0	10	25.2620897919889	-0.766161870206146	0.232246048772457	0	0	10	254.40332646914	D0115T	1	DRIF	
5.1363	24.1059560038155	-14.1425123745083	0.28037242843715	0	0	10	24.1172173605303	12.8638420083813	0.235981464955536	0	0	10	254.40332646914	Q1.1UBC2	1	QUAD	
5.1493	24.4750705540813	-14.2509145690119	0.280907632272561	0	0	10	23.7839240562506	12.7741044746741	0.236524262682246	0	0	10	254.40332646914	D0050T	1	DRIF	
5.2803	29.2278322721203	-22.4170296526214	0.285831806850259	0	0	10	19.8702354176294	16.7810723074505	0.2425181005871	0	0	10	254.40332646914	Q1.2UBC2	1	QUAD	
5.2933	29.8135864948555	-22.6409874808606	0.286272197359801	0	0	10	19.4363311398343	16.5961798306365	0.243179608026837	0	0	10	254.40332646914	D0050T	2	DRIF	
5.3863	31.4935280921982	5.08756630918072	0.289264784461711	0	0	10	17.9845484302118	-0.549405196625556	0.24822404396636	0	0	10	254.40332646914	Q1.3UBC2	1	QUAD	
5.4398	30.9516017551017	5.04189793561422	0.290978354154427	0	0	10	18.0435419757128	-0.553277896850391	0.251193957151746	0	0	10	254.40332646914	D0075T	1	DRIF	
5.4538	30.8105959213385	5.0299473331856	0.291431707094978	0	0	10	18.0590479446609	-0.554291313731656	0.251969524928222	0	0	10	254.40332646914	D0014	1	DRIF	
5.5538	29.8131425992932	4.94458588726691	0.294731197427171	0	0	10	18.1706300766082	-0.561530005740693	0.257489915263231	0	0	10	254.40332646914	V1UBC2	1	VKICK	
5.6378	28.9884752738564	4.87288227269521	0.297588546578063	0	0	10	18.2654778796807	-0.567610507028284	0.262100758020939	0	0	10	254.40332646914	D0084	1	DRIF	
5.7378	28.0224349639092	4.78752082677651	0.301097157973479	0	0	10	18.3797238502873	-0.574849199037321	0.267558552096258	0	0	10	254.40332646914	H1UBC2	1	HKICK	
5.7908	27.5173555592868	4.7422792604396	0.303005779644296	0	0	10	18.4408612002438	-0.578685705802111	0.270437384477387	0	0	10	254.40332646914	D0053	1	DRIF	
6.0158	25.4265441240853	4.55021600712254	0.311512080508546	0	0	10	18.7049343556843	-0.594972762822445	0.282552413205354	0	0	10	254.40332646914	DBPM2UBC2	1	DRIF	
6.0158	25.4265441240853	4.55021600712254	0.311512080508546	0	0	10	18.7049343556843	-0.594972762822445	0.282552413205354	0	0	10	254.40332646914	BPM2UBC2	1	MONI	
6.2408	23.4221611528765	4.35815275380548	0.32073209323658	0	0	10	18.976336686784	-0.611259819842779	0.294495279202722	0	0	10	254.40332646914	DBPM2UBC2	2	DRIF	
6.2808	23.0748747157068	4.324008175438	0.322452681861463	0	0	10	19.0253532914436	-0.614155296646394	0.296600452043322	0	0	10	254.40332646914	PHAB1UBC2	1	DRIF	
6.281	23.0731451465812	4.32383745254616	0.322461349622322	0	0	10	19.0255989564577	-0.614169774030412	0.296610964263815	0	0	10	254.40332646914	D00020	1	DRIF	
6.4388	21.7297977636275	4.18913709088646	0.329508756607328	0	0	10	19.221233432257	-0.625592430020672	0.304862829602456	0	0	10	254.40332646914	TOR3UBC2	1	DRIF	
6.5708	20.6387389499703	4.07645998227378	0.335741902933195	0	0	10	19.3876511034781	-0.635147503472601	0.311700750795827	0	0	10	254.40332646914	D01320	1	DRIF	
6.5708	20.6387389499703	4.07645998227378	0.335741902933195	0	0	10	19.3876511034781	-0.635147503472601	0.311700750795827	0	0	10	254.40332646914	ENDUBC2	1	MARK	
6.5708	20.6387389499703	4.07645998227378	0.335741902933195	0	0	10	19.3876511034781	-0.635147503472601	0.311700750795827	0	0	10	254.40332646914	LWAKE39	1	MARK	
6.5708	20.6387389499703	4.07645998227378	0.335741902933195	0	0	10	19.3876511034781	-0.635147503472601	0.311700750795827	0	0	10	254.40332646914	WATCHBC2	1	WATCH	
6.5708	20.6387389499703	4.07645998227378	0.335741902933195	0	0	10	19.3876511034781	-0.635147503472601	0.311700750795827	0	0	10	254.40332646914	STARTMBC2	1	MARK	
6.6708	19.8319830981075	3.99109853635509	0.34068474936498	0	0	10	19.5154044733735	-0.642386195481639	0.316841785515391	0	0	10	254.40332646914	D0100	1	DRIF	
7.17912036923152	14.3558405729367	3.54232685740576	0.370321883029251	-0.0791922201622682	-0.324919696232906	10	20.1871844762628	3.37463515686063	0.342454661338995	0	0	10	254.40332646914	D1BC2	1	CSRCSBEND	
7.17912036923152	14.3558405729367	3.54232685740576	0.370321883029251	-0.0791922201622682	-0.324919696232906	10	20.1871844762628	3.37463515686063	0.342454661338995	0	0	10	254.40332646914	H1BC2	1	HKICK	
7.70485148135066	10.8920590645668	3.04617709171007	0.412377344144776	-0.250012613412205	-0.324919696232906	10	16.8084958389082	3.05201253331642	0.370999024283094	0	0	10	254.40332646914	D0500BC2	1	CSRDRIFT	
8.21317185058218	9.07495742939639	2.59740541276074	0.462689850528242	-0.346146446540204	0	10	10.9246153853524	5.14779161474707	0.408519809184573	0	0	10	254.40332646914	D2BC2	1	CSRCSBEND	
8.21317185058218	9.07495742939639	2.59740541276074	0.462689850528242	-0.346146446540204	0	10	10.9246153853524	5.14779161474707	0.408519809184573	0	0	10	254.40332646914	H2BC2	1	HKICK	
9.17617185058218	4.86397019182095	1.77537468856371	0.608149022849311	-0.346146446540204	0	10	3.34436886286311	2.72370010123351	0.568520074631341	0	0	10	254.40332646914	D0963BC2	1	CSRDRIFT	
9.68449221981371	2.92442431694138	1.32660300961438	0.741113245062521	-0.250012613412205	0.324919696232906	10	1.22577016575685	1.69028997621153	0.822294280203098	0	0	10	254.40332646914	D3BC2	1	CSRCSBEND	
9.68449221981371	2.92442431694138	1.32660300961438	0.741113245062521	-0.250012613412205	0.324919696232906	10	1.22577016575685	1.69028997621153	0.822294280203098	0	0	10	254.40332646914	H3BC2	1	HKICK	
10.2102233319328	1.79039273386791	0.830453243918688	0.972941556606872	-0.079192220162268	0.324919696232906	10	0.318209147834089	0.0359936638502771	1.82288162534365	0	0	10	254.40332646914	D0500BC2	2	CSRDRIFT	
10.7185437011644	1.34215254288065	0.38168156496936	1.30136212400804	8.32667268468867e-017	0	10	1.03676785953758	-1.51348786585432	2.90936315976922	0	0	10	254.40332646914	D4BC2	1	CSRCSBEND	
10.7185437011644	1.34215254288065	0.38168156496936	1.30136212400804	8.32667268468867e-017	0	10	1.03676785953758	-1.51348786585432	2.90936315976922	0	0	10	254.40332646914	H4BC2	1	HKICK	
10.8185437011644	1.27435237447865	0.296320119050665	1.37790035155864	8.32667268468867e-017	0	10	1.37120489578898	-1.83088249665971	2.99333207294866	0	0	10	254.40332646914	D0100BC2	1	CSRDRIFT	
10.8185437011644	1.27435237447865	0.296320119050665	1.37790035155864	8.32667268468867e-017	0	10	1.37120489578898	-1.83088249665971	2.99333207294866	0	0	10	254.40332646914	ENDMBC2	1	MARK	
10.8185437011644	1.27435237447865	0.296320119050665	1.37790035155864	8.32667268468867e-017	0	10	1.37120489578898	-1.83088249665971	2.99333207294866	0	0	10	254.40332646914	WATCHBC2	2	WATCH	
10.8185437011644	1.27435237447865	0.296320119050665	1.37790035155864	8.32667268468867e-017	0	10	1.37120489578898	-1.83088249665971	2.99333207294866	0	0	10	254.40332646914	STARTDBC2	1	MARK	
11.1661437011644	1.17148924349288	-0.000396266962719105	1.66637396552002	8.32667268468867e-017	0	10	3.02752888233662	-2.93414623333925	3.16477279579138	0	0	10	254.40332646914	D03476CSR	1	CSRDRIFT	
11.4429437011644	1.87255039672046	-2.90825468024686	1.86926982048814	1.03105643061253e-016	1.4878280413811e-016	10	3.21798533237391	2.3546531092953	3.24692002889416	0	0	10	254.40332646914	Q1DBC2	1	QUAD	
11.7661437011644	4.28004767950749	-4.54068493233678	1.98368357239041	1.5119224535869e-016	1.4878280413811e-016	10	1.90837345729095	1.69736383093663	3.37771365765739	0	0	10	254.40332646914	D03232CSR	1	CSRDRIFT	
11.7661437011644	4.28004767950749	-4.54068493233678	1.98368357239041	1.5119224535869e-016	1.4878280413811e-016	10	1.90837345729095	1.69736383093663	3.37771365765739	0	0	10	254.40332646914	WATCHBC2	3	WATCH	
12.0429437011644	4.69827165464189	3.27342783118123	2.04073305231187	1.55179082152832e-016	-1.21109705217715e-016	10	1.87089612212747	-1.54145714982953	3.53658089495684	0	0	10	254.40332646914	Q1.1DBC2	1	QUAD	
12.1045437011644	4.30444723416535	3.11982574798333	2.05443134804743	1.47718724311421e-016	-1.21109705217715e-016	10	2.0676510443297	-1.65261626254434	3.56790569296876	0	0	10	254.40332646914	D0075A	1	DRIF	
12.1295437011644	4.15001440946097	3.05748724019197	2.06034640655413	1.44690981680978e-016	-1.21109705217715e-016	10	2.15140968936352	-1.69772953880846	3.57975928555735	0	0	10	254.40332646914	D0025	1	DRIF	
12.2295437011644	3.56345236453912	2.80813320902655	2.08635331186711	1.32580011159206e-016	-1.21109705217715e-016	10	2.50900090763086	-1.87818264386496	3.62281414896698	0	0	10	254.40332646914	H2DBC2	1	HKICK	
12.2795437011644	3.2888728944156	2.68345619344384	2.10095914794528	1.2652452589832e-016	-1.21109705217715e-016	10	2.70133049964377	-1.9684091963932	3.6420210561065	0	0	10	254.40332646914	D0050	1	DRIF	
12.3661437011644	2.84279873689079	2.46751560245459	2.12928476420283	1.16036425426466e-016	-1.21109705217715e-016	10	3.05579216134465	-2.12468158537213	3.6721672791106	0	0	10	254.40332646914	D0100A	1	DRIF	
12.6429437011644	2.25383587401563	-0.154853869723172	2.24378753997926	9.67457205314347e-017	-2.1341787907996e-017	10	3.41976627540446	0.928131929659193	3.75414920937227	0	0	10	254.40332646914	Q2DBC2	1	QUAD	
12.7295437011644	2.28406382094003	-0.194198635177569	2.28196509708239	9.48975216986022e-017	-2.1341787907996e-017	10	3.26309594555433	0.880994281081266	3.78007627787315	0	0	10	254.40332646914	D0100A	2	DRIF	
12.7795437011644	2.30461950332195	-0.216915012460708	2.30375978493401	9.38304323032024e-017	-2.1341787907996e-017	10	3.17635730406797	0.853778548645973	3.79560757999934	0	0	10	254.40332646914	D0050	2	DRIF	
12.8795437011644	2.35254578127071	-0.262347767026985	2.34671985060244	9.16962535124028e-017	-2.1341787907996e-017	10	3.01104474082583	0.799347083775388	3.82794850451799	0	0	10	254.40332646914	V2DBC2	1	VKICK	
12.9045437011644	2.3659471243381	-0.273705955668555	2.35731669549726	9.11627088147029e-017	-2.1341787907996e-017	10	2.97141758329251	0.785739217557742	3.83630654780895	0	0	10	254.40332646914	D0025	2	DRIF	
12.9661437011644	2.40139167120814	-0.301692532481382	2.38316279720154	8.98480546795704e-017	-2.1341787907996e-017	10	2.87667994628279	0.752209435197461	3.85737755193345	0	0	10	254.40332646914	D0075A	2	DRIF	
13.2429437011644	2.3414562438434	0.51041372878957	2.49806943337295	7.92636070941109e-017	-5.44496751050005e-017	10	2.79321485308379	-0.439954295543711	3.95694856103922	0	0	10	254.40332646914	Q2.2DBC2	1	QUAD	
13.3045437011644	2.28061607254523	0.477251389687296	2.52472961150145	7.59095071076429e-017	-5.44496751050005e-017	10	2.84903866369662	-0.466276396222912	3.97878661270033	0	0	10	254.40332646914	D0075A	3	DRIF	
13.4395437011644	2.16156961989685	0.404574185485884	2.58556986619348	6.85588009684678e-017	-5.44496751050005e-017	10	2.98272095763912	-0.523962818165964	4.02511355550924	0	0	10	254.40332646914	D0135	1	DRIF	
13.4795437011644	2.13006504451518	0.383040199055836	2.60421236401244	6.63808139642678e-017	-5.44496751050005e-017	10	3.02532167401912	-0.541055091334276	4.03842976853384	0	0	10	254.40332646914	PHA3DBC2	1	DRIF	
13.5661437011644	2.06775986762049	0.336419118434782	2.64548809109191	6.16654721001747e-017	-5.44496751050005e-017	10	3.12223702904228	-0.578059862743672	4.06661078560653	0	0	10	254.40332646914	D0100A	3	DRIF	
13.8429437011644	1.79325220795437	0.632813054061816	2.78810007770387	4.46872559774402e-017	-6.75322757028779e-017	10	3.7066152544073	-1.58057214135219	4.14899159508655	0	0	10	254.40332646914	Q3DBC2	1	QUAD	
13.8429437011644	1.79325220795437	0.632813054061816	2.78810007770387	4.46872559774402e-017	-6.75322757028779e-017	10	3.7066152544073	-1.58057214135219	4.14899159508655	0	0	10	254.40332646914	BPM3DBC2	1	MONI	
13.9295437011644	1.68950581876545	0.565182202161284	2.8378734071757	3.8838960901571e-017	-6.75322757028779e-017	10	3.98744824143444	-1.66230299752935	4.17151937232286	0	0	10	254.40332646914	D0100A	4	DRIF	
13.9795437011644	1.63493999034784	0.526134366191	2.86796220127427	3.54623471164271e-017	-6.75322757028779e-017	10	4.15603797698926	-1.70949171356697	4.18380206657393	0	0	10	254.40332646914	D0050	3	DRIF	
14.0795437011644	1.53752268430369	0.448038694250432	2.93107634459322	2.87091195461393e-017	-6.75322757028779e-017	10	4.50737406291017	-1.80386914564221	4.2069087222416	0	0	10	254.40332646914	H4DBC2	1	HKICK	
14.1045437011644	1.5156088475408	0.42851477626529	2.94745412682476	2.70208126535674e-017	-6.75322757028779e-017	10	4.59815737914275	-1.82746350366101	4.21240019046673	0	0	10	254.40332646914	D0025	3	DRIF	
14.1661437011644	1.4657792142341	0.380407842349899	2.98879470808036	2.28608244702701e-017	-6.75322757028779e-017	10	4.82688209108035	-1.88560000181936	4.22547597715203	0	0	10	254.40332646914	D0075A	4	DRIF	
14.4429437011644	1.67892177869369	-1.21318380310801	3.17369371846205	6.28381436610383e-018	-5.47139951519817e-017	10	4.66935141775681	2.40677148130918	4.28142498369244	0	0	10	254.40332646914	Q4DBC2	1	QUAD	
14.5045437011644	1.83397261471348	-1.30387522318721	3.20880593929111	2.91343226474176e-018	-5.47139951519817e-017	10	4.37835715300601	2.317161388022	4.29504916062397	0	0	10	254.40332646914	D0075A	5	DRIF	
14.5245437011644	1.88671652896616	-1.33332048944669	3.21955792338379	1.81915236170213e-018	-5.47139951519817e-017	10	4.28625258120777	2.2880672018898	4.29966591815259	0	0	10	254.40332646914	D0020	1	DRIF	
14.6245437011644	2.16810325998523	-1.48054682074408	3.26902130440604	-3.65224715349605e-018	-5.47139951519817e-017	10	3.84318623389591	2.14259627122881	4.324306976398	0	0	10	254.40332646914	V4DBC2	1	VKICK	
14.6645437011644	2.28890262694552	-1.53943735326303	3.2869781352318	-5.84080695957532e-018	-5.47139951519817e-017	10	3.67410606708818	2.08440789896441	4.33495200011973	0	0	10	254.40332646914	D0040	1	DRIF	
14.7645437011644	2.61151273072786	-1.68666368456042	3.32789114535924	-1.13122064747735e-017	-5.47139951519817e-017	10	3.2717715803614	1.93893696830342	4.36379848503449	0	0	10	254.40332646914	D0100	2	DRIF	
14.7645437011644	2.61151273072786	-1.68666368456042	3.32789114535924	-1.13122064747735e-017	-5.47139951519817e-017	10	3.2717715803614	1.93893696830342	4.36379848503449	0	0	10	254.40332646914	OTR4DBC2	1	MARK	
14.7895437011644	2.69676607952649	-1.72347026738477	3.33731174875156	-1.2680056353573e-017	-5.47139951519817e-017	10	3.17573392526286	1.90256923563817	4.3715543603854	0	0	10	254.40332646914	D0025	4	DRIF	
14.7895437011644	2.69676607952649	-1.72347026738477	3.33731174875156	-1.2680056353573e-017	-5.47139951519817e-017	10	3.17573392526286	1.90256923563817	4.3715543603854	0	0	10	254.40332646914	WIRE4DBC2	1	MARK	
14.8945437011644	3.07492653870283	-1.87805791524703	3.37378265628414	-1.84250258445311e-017	-5.47139951519817e-017	10	2.79223255588422	1.74982475844413	4.40682241358078	0	0	10	254.40332646914	D0105	1	DRIF	
15.0295437011644	3.60883417469848	-2.07681346249851	3.4143196821149	-2.58114151900487e-017	-5.47139951519817e-017	10	2.34629194821727	1.55343900205178	4.45959015587512	0	0	10	254.40332646914	D0135	2	DRIF	
15.1161437011644	3.97957959345467	-2.20431146540205	3.43717323023618	-3.05496471702103e-017	-5.47139951519817e-017	10	2.08814599278938	1.42746117609936	4.49872443119489	0	0	10	254.40332646914	D0100A	5	DRIF	
15.3929437011644	4.20160699775285	1.46976022948047	3.50214230160365	-4.13570811791208e-017	-2.17505594295494e-017	10	1.84466841847938	-0.476162352313703	4.64620766661314	0	0	10	254.40332646914	Q5DBC2	1	QUAD	
15.3929437011644	4.20160699775285	1.46976022948047	3.50214230160365	-4.13570811791208e-017	-2.17505594295494e-017	10	1.84466841847938	-0.476162352313703	4.64620766661314	0	0	10	254.40332646914	BPM5DBC2	1	MONI	
15.4795437011644	3.95268524228944	1.40462493753345	3.52339415216576	-4.32406796257198e-017	-2.17505594295494e-017	10	1.93212705135959	-0.533752577018947	4.69209505256595	0	0	10	254.40332646914	D0100A	6	DRIF	
15.5295437011644	3.81410309761078	1.36701795603979	3.53627189291729	-4.43282075971973e-017	-2.17505594295494e-017	10	1.98716484441671	-0.567003284123592	4.71761515175791	0	0	10	254.40332646914	D0050	4	DRIF	
15.6295437011644	3.54822090270155	1.29180399305247	3.56345830904871	-4.65032635401522e-017	-2.17505594295494e-017	10	2.10721564266236	-0.633504698332881	4.76650307303733	0	0	10	254.40332646914	H5DBC2	1	HKICK	
15.6795437011644	3.42092085247099	1.25419701155881	3.57781016528292	-4.75907915116297e-017	-2.17505594295494e-017	10	2.17222864785088	-0.666755405437526	4.78987541790574	0	0	10	254.40332646914	D0050	5	DRIF	
15.8075437011644	3.11216947320777	1.15792313893504	3.61704919775285	-5.0374863118612e-017	-2.17505594295494e-017	10	2.35381362334694	-0.751877215625416	4.84651282697834	0	0	10	254.40332646914	D0128	1	DRIF	
